customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
1,Laraine,Medendorp,F,93,10/12/1953,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11
2,Eli,Bockman,Male,81,12/16/1980,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16
3,Arlin,Dearle,Male,61,1/20/1954,Recruiting Manager,Property,Mass Customer,N,2/1/2018 0:00,Yes,15
4,Talbot,,Male,33,10/3/1961,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7
5,Sheila-kathryn,Calton,Female,56,5/13/1977,Senior Editor,,Affluent Customer,N,NIL,Yes,8
6,Curr,Duckhouse,Male,35,9/16/1966,,Retail,High Net Worth,N,ðµ ð ð ð,Yes,13
7,Fina,Merali,Female,6,2/23/1976,,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11
8,Rod,Inder,Male,31,3/30/1962,Media Manager I,,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7
9,Mala,Lind,Female,97,3/10/1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8
10,Fiorenze,Birdall,Female,49,10/11/1988,Senior Quality Engineer,Financial Services,Mass Customer,N,ð©ð½,Yes,20
11,Uriah,Bisatt,Male,99,4/30/1954,,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9
12,Sawyere,Flattman,Male,58,7/21/1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8
13,Gabriele,Norcross,Male,38,2/15/1955,Developer I,Financial Services,High Net Worth,N,-100,Yes,8
14,Rayshell,Kitteman,Female,85,3/25/1983,Account Executive,Financial Services,Affluent Customer,N,â°â´âµ,No,6
15,Erroll,Radage,Male,91,7/13/2000,Junior Executive,Manufacturing,Mass Customer,N,ð,No,1
16,Harlin,Parr,Male,38,2/27/1977,Media Manager IV,,Mass Customer,N,1E+96,Yes,18
17,Heath,Faraday,Male,57,3/19/1962,Sales Associate,,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15
18,Marjie,Neasham,Female,79,7/6/1967,Professor,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11
19,Sorcha,Keyson,Female,76,4/15/2001,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1
20,Basile,Firth,Male,72,8/13/1980,Project Manager,Manufacturing,Mass Customer,N,ð©ð½,No,11
21,Mile,Cammocke,Male,74,9/20/1980,Safety Technician I,Manufacturing,Affluent Customer,N,-100,Yes,16
22,Deeanne,Durtnell,Female,79,12/10/1962,,IT,Mass Customer,N,ï¼ï¼ï¼,No,11
23,Olav,Polak,Male,43,2/10/1995,,,High Net Worth,N,2/1/2018 0:00,Yes,1
