,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
0,1,2,2950,2/25/2017,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Kristos,Anthony,Male,19.0,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,65.0
1,2,3,3120,5/21/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,Lauree,O'Donnell,Female,89.0,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,41.0
2,3,37,402,10/16/2017,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Berne,Donegan,Male,9.0,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43.0
3,4,88,3135,8/31/2017,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Titus,Worsall,Male,83.0,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58.0
5,6,25,2339,3/8/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,Damien,Haddeston,Male,3.0,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61.0
6,7,22,1542,4/21/2017,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Sanders,Fernyhough,Male,56.0,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41.0
7,8,15,2459,7/15/2017,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Jeanna,Naulls,Female,67.0,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,34.0
8,9,67,1305,8/10/2017,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50.0
9,10,12,3262,8/30/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60.0
11,12,61,2783,1/5/2017,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Antonin,Gleaves,Male,14.0,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41.0
12,13,35,1243,2/26/2017,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Robbert,Blakey,Male,73.0,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66.0
13,14,16,2717,9/10/2017,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Frederic,McGown,Male,31.0,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39.0
14,15,12,247,6/11/2017,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Kristal,Joysey,Female,62.0,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37.0
15,16,3,2961,10/10/2017,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,Merv,Barradell,Male,56.0,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45.0
17,18,33,1842,6/2/2017,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Ephrayim,Beville,Male,89.0,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43.0
18,19,54,2268,4/6/2017,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Wilhelmina,Gothup,Female,66.0,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0,54.0
19,20,25,3002,1/28/2017,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,Tracey,Verdun,Male,62.0,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,63.0
20,21,27,1582,10/9/2017,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Francesco,Wasson,Male,32.0,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0,42.0
21,22,37,595,6/29/2017,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Nikola,Jeanon,Male,72.0,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0,47.0
22,23,37,2001,4/8/2017,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,Mada,Martinho,Female,21.0,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,42.0
23,24,82,515,10/18/2017,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Winna,Verny,Female,55.0,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0,30.0
26,27,64,2666,4/11/2017,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Lyle,Eager,Male,2.0,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0,49.0
27,28,19,76,12/23/2017,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,Rea,Hasser,Female,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,42.0
