,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Total_Price,address,postcode,state,country,property_valuation
0,1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Kristos,Anthony,Male,19.0,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,65.0,1018.78,984 Hoepker Court,3064.0,VIC,Australia,6.0
1,2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,Lauree,O'Donnell,Female,89.0,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,41.0,34613.880000000005,4 Shopko Circle,2196.0,NSW,Australia,5.0
2,3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Berne,Donegan,Male,9.0,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,43.0,2239.38,586 Miller Parkway,2835.0,NSW,Australia,1.0
3,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Titus,Worsall,Male,83.0,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,58.0,31631.300000000003,1617 Harper Parkway,2096.0,NSW,Australia,10.0
4,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,Damien,Haddeston,Male,3.0,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,61.0,2488.95,7174 Thackeray Point,2153.0,NSW,Australia,10.0
5,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Sanders,Fernyhough,Male,56.0,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,41.0,2534.56,243 Mosinee Place,2155.0,NSW,Australia,10.0
6,8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Jeanna,Naulls,Female,67.0,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,34.0,900.48,975 Annamark Hill,4034.0,QLD,Australia,6.0
7,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50.0,36931.78,3 School Place,4124.0,QLD,Australia,4.0
8,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,60.0,10504.0,2558 Morningstar Center,4221.0,QLD,Australia,8.0
9,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Antonin,Gleaves,Male,14.0,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,41.0,797.02,13392 Emmet Parkway,2171.0,NSW,Australia,9.0
10,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Robbert,Blakey,Male,73.0,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,66.0,11271.2,2 Eliot Lane,2155.0,NSW,Australia,11.0
11,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Frederic,McGown,Male,31.0,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,39.0,45852.409999999996,6994 Hanson Place,2580.0,NSW,Australia,5.0
12,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Kristal,Joysey,Female,62.0,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,37.0,43987.76,2 2nd Plaza,2283.0,NSW,Australia,4.0
13,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,Merv,Barradell,Male,56.0,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,45.0,21779.52,8 Roxbury Way,3031.0,VIC,Australia,8.0
14,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Ephrayim,Beville,Male,89.0,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,43.0,103879.02,9649 Cascade Way,2250.0,NSW,Australia,8.0
15,19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Wilhelmina,Gothup,Female,66.0,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0,54.0,887.04,9574 David Lane,3218.0,VIC,Australia,8.0
16,20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,Tracey,Verdun,Male,62.0,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,63.0,51438.299999999996,673 Comanche Parkway,2470.0,NSW,Australia,2.0
17,21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,Francesco,Wasson,Male,32.0,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0,42.0,12439.04,85301 John Wall Road,2101.0,NSW,Australia,11.0
18,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Nikola,Jeanon,Male,72.0,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0,47.0,17915.04,0278 Elka Place,4305.0,QLD,Australia,4.0
19,23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,Mada,Martinho,Female,21.0,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,42.0,5225.22,3 Bonner Point,2800.0,NSW,Australia,4.0
20,24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Winna,Verny,Female,55.0,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0,30.0,45630.75,12845 Paget Lane,2026.0,NSW,Australia,12.0
21,27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Lyle,Eager,Male,2.0,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0,49.0,1193.1,0 Knutson Crossing,2151.0,NSW,Australia,8.0
22,28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,Rea,Hasser,Female,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,42.0,9194.199999999999,439 Ridgeway Court,4213.0,QLD,Australia,9.0
23,29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Tanya,Boddis,Female,7.0,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,52.0,1892.1000000000001,2 Roxbury Place,2564.0,NSW,Australia,8.0
24,30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Gertie,Chaim,Female,58.0,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,42.0,29803.300000000003,71 Cherokee Hill,2127.0,NSW,Australia,7.0
25,32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Cindelyn,Balas,Female,2.0,1993-01-21,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0,27.0,1909.64,050 Monterey Street,4869.0,QLD,Australia,3.0
26,34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Lilli,Hargey,Female,80.0,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,58.0,122513.6,064 Fallview Terrace,4500.0,QLD,Australia,7.0
27,35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Laryssa,Maes,Female,21.0,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0,50.0,7913.639999999999,6 Tennyson Place,2138.0,NSW,Australia,9.0
28,36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,Dill,Bampford,Male,47.0,1959-03-23,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0,61.0,59189.92,73 Burrows Court,3121.0,VIC,Australia,8.0
29,37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Jacenta,Wedlock,Female,78.0,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,45.0,86248.5,27135 Melvin Plaza,4556.0,QLD,Australia,8.0
30,38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,Lauren,Adolfson,Male,23.0,1969-08-03,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0,50.0,1233.26,2 Blue Bill Park Lane,4220.0,QLD,Australia,8.0
31,39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,Giusto,Torbett,Male,77.0,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0,23.0,12443.199999999999,1 Carey Pass,2065.0,NSW,Australia,11.0
32,40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Lorri,Iston,Female,5.0,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,27.0,1884.1999999999998,11 Dunning Pass,2219.0,NSW,Australia,10.0
33,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,Hirsch,Peele,Male,13.0,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0,42.0,1413.88,457 Merry Pass,4812.0,QLD,Australia,3.0
34,43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,Domini,Ghelerdini,Female,24.0,1980-07-11,Help Desk Operator,Property,Mass Customer,N,Yes,10.0,39.0,12332.400000000001,4671 Buell Trail,3564.0,Victoria,Australia,2.0
35,44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,36.0,4545.110000000001,22371 Miller Trail,2032.0,NSW,Australia,10.0
36,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,50.0,63000.53,3 School Place,4124.0,QLD,Australia,4.0
37,49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Codie,Arnecke,Male,63.0,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0,22.0,7879.41,6 Lerdahl Plaza,4519.0,QLD,Australia,6.0
38,50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Shaylah,Hatchell,Female,5.0,1953-10-21,Safety Technician II,Retail,Mass Customer,N,No,20.0,66.0,1056.85,32304 Larry Road,4014.0,QLD,Australia,7.0
39,51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Trip,Ahmed,Male,94.0,1967-10-01,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0,52.0,74739.40000000001,1742 Scott Center,4670.0,QLD,Australia,2.0
40,54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,Mike,Geggus,Male,12.0,1998-08-07,Pharmacist,Health,Mass Customer,N,Yes,4.0,21.0,4664.64,01 Burning Wood Terrace,2323.0,NSW,Australia,9.0
41,55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Britt,Muddimer,Female,2.0,1985-06-11,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0,35.0,580.82,3 Canary Center,2040.0,NSW,Australia,10.0
42,56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,Lucy,Lackmann,Female,35.0,1979-04-28,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0,41.0,53599.700000000004,5 Northland Plaza,2096.0,NSW,Australia,9.0
43,57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Skipton,Cordie,Male,25.0,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,33.0,24841.5,7 Melrose Circle,4017.0,QLD,Australia,5.0
44,58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,Roi,Ogden,Male,75.0,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,36.0,5644.5,65634 Del Mar Crossing,4053.0,QLD,Australia,7.0
45,59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Reine,Semken,Female,71.0,1977-02-18,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,43.0,62117.9,84019 Porter Trail,2871.0,NSW,Australia,3.0
46,61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Faythe,Rance,Female,60.0,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,33.0,432.6,734 South Court,4152.0,QLD,Australia,8.0
47,62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Robbie,Yakubovics,Female,12.0,1959-10-12,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0,60.0,14006.16,2364 Dovetail Way,3048.0,VIC,Australia,6.0
48,66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,Ninnette,Pandey,Female,77.0,1994-09-08,Account Executive,Property,Mass Customer,N,Yes,5.0,25.0,9630.39,6 North Court,3862.0,VIC,Australia,7.0
